Date,Open,High,Low,Close*,Adj Close**,Volume
"Dec 27, 2019",61.73,62.34,61.09,61.68,61.68,"779,048"
"Dec 20, 2019",61.11,61.83,60.02,61.68,61.68,"1,336,854"
"Dec 13, 2019",59.36,61.47,59.27,61.22,61.22,"1,580,839"
"Dec 06, 2019",58.32,59.85,57.70,59.18,59.18,"2,878,493"
"Nov 29, 2019",58.13,59.12,55.02,58.43,58.43,"3,305,703"
"Nov 22, 2019",58.31,58.74,57.21,58.11,58.11,"1,826,958"
"Nov 15, 2019",56.91,58.67,54.76,58.58,58.58,"1,924,959"
"Nov 08, 2019",57.08,57.79,55.76,56.77,56.77,"2,786,957"
"Nov 01, 2019",54.15,57.88,54.07,57.15,57.15,"2,855,209"
"Oct 25, 2019",56.07,56.92,53.71,54.18,54.18,"2,740,244"
"Oct 18, 2019",54.09,56.51,52.71,56.23,56.23,"1,877,995"
"Oct 11, 2019",53.88,54.93,52.39,53.93,53.93,"2,316,600"
"Oct 04, 2019",52.29,54.06,51.38,53.55,53.55,"2,995,057"
"Sep 27, 2019",56.51,56.76,50.99,52.45,52.45,"3,067,436"
"Sep 20, 2019",58.65,59.39,55.41,56.41,56.41,"2,857,536"
"Sep 13, 2019",55.15,63.38,54.44,58.13,58.13,"3,326,911"
"Sep 06, 2019",56.19,58.76,54.00,55.09,55.09,"3,821,508"
"Aug 30, 2019",56.63,57.76,52.84,56.30,56.30,"3,073,836"
"Aug 23, 2019",55.35,56.89,52.96,56.71,56.71,"3,387,605"
"Aug 16, 2019",54.74,57.13,54.26,55.35,55.35,"2,266,782"
"Aug 09, 2019",52.88,57.47,52.37,54.47,54.47,"3,367,058"
"Aug 02, 2019",54.54,56.05,50.52,52.54,52.54,"4,034,424"
"Jul 26, 2019",55.93,58.82,53.59,53.95,53.95,"3,054,677"
"Jul 19, 2019",55.72,57.64,54.99,56.02,56.02,"2,551,106"
"Jul 12, 2019",60.46,60.92,54.72,55.30,55.30,"2,468,180"
"Jul 05, 2019",57.38,60.94,56.29,60.20,60.20,"3,054,423"
